params,method,blend_weight,accuracy,macro_f1,abs_error
1,stage2_blend,1.0,0.5695915032679738,0.4174603174603174,0.7023809523809523
5,stage2_blend,0.75,0.5695915032679738,0.4126984126984127,0.6428571428571429
1,stage2_blend,0.75,0.5695915032679738,0.4110793650793651,0.6666666666666666
4,stage2_blend,1.0,0.5356045751633987,0.4062469810890863,0.6785714285714286
4,stage2_classifier,,0.5378267973856209,0.4010517318938371,0.7261904761904762
3,stage2_blend,0.5,0.5446732026143791,0.39789177489177485,0.6071428571428571
5,stage2_blend,0.5,0.5446732026143791,0.39771861471861475,0.6309523809523809
3,stage2_blend,0.75,0.5453267973856208,0.39770274170274167,0.6785714285714286
2,stage2_blend,0.5,0.5446732026143791,0.3976089466089466,0.6428571428571429
1,stage2_blend,0.5,0.5446732026143791,0.3959408369408369,0.6428571428571429
4,stage2_blend,0.5,0.5321732026143791,0.39579076479076475,0.5833333333333334
4,stage2_blend,0.25,0.5224509803921569,0.3844357864357864,0.5714285714285714
4,stage2_blend,0.75,0.5467156862745097,0.38402308802308804,0.6428571428571429
1,stage2_blend,0.25,0.5224509803921569,0.3815786435786436,0.5833333333333334
3,stage2_blend,0.25,0.5224509803921569,0.3815786435786436,0.5833333333333334
5,stage2_blend,0.25,0.5224509803921569,0.3815786435786436,0.5833333333333334
2,stage2_blend,0.25,0.5099509803921569,0.3761240981240981,0.5952380952380952
5,stage2_blend,1.0,0.5451470588235294,0.37377777777777776,0.7261904761904762
3,stage2_blend,1.0,0.5333823529411764,0.3698239538239539,0.75
2,stage2_blend,1.0,0.5333823529411764,0.36630014430014424,0.7380952380952381
2,stage2_blend,0.75,0.5208823529411764,0.35976623376623373,0.7142857142857143
3,stage2_classifier,,0.5244934640522876,0.3536207184628237,0.7380952380952381
2,stage2_classifier,,0.5222712418300653,0.35200167084377604,0.7738095238095238
1,stage2_classifier,,0.5111601307189543,0.3446031746031746,0.8095238095238095
5,stage2_classifier,,0.5111601307189543,0.34079365079365076,0.7857142857142857
1,stage2_blend,0.0,0.496437908496732,0.32991319791319795,0.5714285714285714
2,stage2_blend,0.0,0.496437908496732,0.32991319791319795,0.5714285714285714
3,stage2_blend,0.0,0.496437908496732,0.32991319791319795,0.5714285714285714
4,stage2_blend,0.0,0.496437908496732,0.32991319791319795,0.5714285714285714
5,stage2_blend,0.0,0.496437908496732,0.32991319791319795,0.5714285714285714
1,stage1_net_rating,,0.5592156862745099,0.2985730994152047,0.6428571428571429
2,stage1_net_rating,,0.5592156862745099,0.2985730994152047,0.6428571428571429
3,stage1_net_rating,,0.5592156862745099,0.2985730994152047,0.6428571428571429
4,stage1_net_rating,,0.5592156862745099,0.2985730994152047,0.6428571428571429
5,stage1_net_rating,,0.5592156862745099,0.2985730994152047,0.6428571428571429
